CSR [11:10],CSR [9:8],CSR [7:0],Address (Hex),Privilege,Name,L71,A71/H71,Width,Fields,Field Type,Reset value,Instruction Access,"Updated by
(direct write, not via instructions)","Output to 
(direct read)",Description,Risc-V Description,Note,Group,Shadow of,Access Enable,Disable Action,Reset Impl A,Reset Impl H,Field Access,bit63,bit62,bit61,bit60,bit59,bit58,bit57,bit56,bit55,bit54,bit53,bit52,bit51,bit50,bit49,bit48,bit47,bit46,bit45,bit44,bit43,bit42,bit41,bit40,bit39,bit38,bit37,bit36,bit35,bit34,bit33,bit32,bit31,bit30,bit29,bit28,bit27,bit26,bit25,bit24,bit23,bit22,bit21,bit20,bit19,bit18,bit17,bit16,bit15,bit14,bit13,bit12,bit11,bit10,bit09,bit08,bit07,bit06,bit05,bit04,bit03,bit02,bit01,bit00,Reset Impl L,L31,L30,L29,L28,L27,L26,L25,L24,L23,L22,L21,L20,L19,L18,L17,L16,L15,L14,L13,L12,L11,L10,L09,L08,L07,L06,L05,L04,L03,L02,L01,L00
,,...,...,URW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11111111,0x0ff,URW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00,01,00000000,0x100,SRW,sstatus,sstatus,sstatus,SXLEN,SD UXL MXR SUM XS FS VS SPP UBE SPIE SIE,WARL,"UXL=2
Others=0",SRW,VPU (write VS),"DCI
PLC 
VPU (read VS)","The sstatus register is a subset of the mstatus register, but not a seperate register.
Reset value displayed is for A71/L71. It is 0 for L71. ",Supervisor status register.,A subset of mstatus. Reading or writing any field in sstatus is equivalent to reading or writing the homonymous field in mstatus.,S Trap Setup,mstatus,,,"{0,0,0,0,0,0,0,0,0,2,2,0}","{0,0,0,0,0,0,0,0,0,2,2,0}",Yes,SD,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,UXL,UXL,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MXR,SUM,wpri,XS,XS,FS,FS,wpri,wpri,VS,VS,SPP,wpri,UBE,SPIE,wpri,wpri,wpri,SIE,wpri,"{0,0,0,0,0,0,0,0,0,0}",SD,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MXR,SUM,wpri,XS,XS,FS,FS,wpri,wpri,VS,VS,SPP,wpri,UBE,SPIE,wpri,wpri,wpri,SIE,wpri
,,,...,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x103,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x104,SRW,sie,sie,sie,SXLEN,SEIE STIE SSIE,WARL,0,SRW,-,PLC,The sie registers are subsets of the mie registers.,Supervisor interrupt-enable register.,Enables or disables all interrupts in supervisor mode,S Trap Setup,mie,,,"{0,0,0}","{0,0,0}",Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,SEIE,wpri,wpri,wpri,STIE,wpri,wpri,wpri,SSIE,wpri,"{0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,SEIE,wpri,wpri,wpri,STIE,wpri,wpri,wpri,SSIE,wpri
,,,0x105,SRW,stvec,stvec,stvec,SXLEN,base mode,WARL,-,SRW,-,PLC,,Supervisor trap handler base address.,"bit[1:0] = 0/1, bit[XLEN-1:2]: 4-byte aligned (define bit[4:2] reserved)",S Trap Setup,,,,-,-,Yes,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,wpri,wpri,wpri,mode,-,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,base,wpri,wpri,wpri,mode
,,,0x106,SRW,scounteren,scounteren,scounteren,32,HPM<31-3> IR TM CY,WARL,0,SRW,-,CSR (counters),,Supervisor counter enable.,,S Trap Setup,-,,,"{0,0,0,0}","{0,0,0,0}",Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,HPM6_3,HPM6_3,HPM6_3,HPM6_3,IR,TM,CY,"{0,0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,HPM6_3,HPM6_3,HPM6_3,HPM6_3,IR,TM,CY
,,,...,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x10a,SRW,senvcfg,senvcfg,senvcfg,SXLEN,CBZE CBCFE CBIE FIOM,RW,0,SRW,-,TBD (MMU?),FIOM is checked for FENCE instructions.,Supervisor environment configuration register.,,S Configuration,,,,0,0,,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,cbze,cbcfe,cbie,cbie,wpri,wpri,wpri,fiom,0,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,cbze,cbcfe,cbie,cbie,wpri,wpri,wpri,fiom
,,,...,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x13f,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x140,SRW,sscratch,sscratch,sscratch,SXLEN,sscratch,RW,0,SRW,-,-,,Scratch register for supervisor trap handlers.,,S Trap Handling,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x141,SRW,sepc,sepc,sepc,SXLEN,sepc,WARL,0,SRW,PLC,PLC (for sret),bit[0] is always 0.,Supervisor exception program counter.,,S Trap Handling,,,,{0},{0},Yes,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,wpri,{0},epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,epc,wpri
,,,0x142,SRW,scause,scause,scause,SXLEN,Interrupt(0/1) & Exception(0-63),WLRL,-,SRW,PLC,-,WLRL field requires to check the write value against the supported value. Convert unsupported value to 0x2 for write.,Supervisor trap cause.,,S Trap Handling,,,,-,-,Yes,Intr,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,-,Intr,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
,,,0x143,SRW,stval,stval,stval,SXLEN,stval,WARL,-,SRW,PLC,-,,Supervisor bad address or instruction.,,S Trap Handling,,,,-,-,No,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,-,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val,val
,,,0x144,SRW,sip,sip,sip,SXLEN,SEIP STIP SSIP,WARL,0,"SEIP: SRO
STIP: SRO
SSIP: SRW","SEIP: External pin (set/clr) 
STIP: External pin (set/clr)
SSIP: External pin (set to 1)",PLC,The sip registers are subsets of the mip registers.,Supervisor interrupt pending.,,S Trap Handling,mip,,,"{0,0,0}","{0,0,0}",Yes,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,SEIP,wpri,wpri,wpri,STIP,wpri,wpri,wpri,SSIP,wpri,"{0,0,0}",wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,SEIP,wpri,wpri,wpri,STIP,wpri,wpri,wpri,SSIP,wpri
,,,...,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x17f,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x180,SRW,satp,satp,satp,SXLEN,MODE ASID PPN,WARL,0,SRW,-,MMU,Selecting satp.MODE=Bare causes the other fields to read as zero,Supervisor address translation and protection.,"Active in S-mode or U-mode. When SXLEN=32, MODE=Bare,SV32; when SXLEN=64, MODE=Bare,Sv39,Sv48,Sv57",Protect/Trans,,,,"{0,0,0}","{0,0,0}",Yes,MODE,MODE,MODE,MODE,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,"{0,0,0}",MODE,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,ASID,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN,PPN
,,,...,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x1ff,SRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00,10,00000000,0x200,HRW,vsstatus,,,,,,,,,,,Virtual supervisor status register.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x204,HRW,vsie,,,,,,,,,,,Virtual supervisor interrupt-enable register.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x205,HRW,vstvec,,,,,,,,,,,Virtual supervisor trap handler base address.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x240,HRW,vsscratch,,,,,,,,,,,Virtual supervisor scratch register.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x241,HRW,vsepc,,,,,,,,,,,Virtual supervisor exception program counter.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x242,HRW,vscause,,,,,,,,,,,Virtual supervisor trap cause.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x243,HRW,vstval,,,,,,,,,,,Virtual supervisor bad address or instruction.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x244,HRW,vsip,,,,,,,,,,,Virtual supervisor interrupt pending.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x280,HRW,vsatp,,,,,,,,,,,Virtual supervisor address translation and protection.,,Virtual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,...,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0x2ff,HRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00,11,00000000,0x300,MRW,mstatus,mstatus,mstatus,MXLEN,SD MBE SBE SXL UXL TSR TW TVM MXR SUM MPRV XS FS MPP VS SPP MPIE UBE SPIE MIE SIE,WARL,"A71/H71: SXL=2, MXL=2, others=0
L71: 0",MRW,TBD,"DCI
PLC
VPU (read VS)","Preset SXL[1:0] = UXL[1:0] = XLEN at build time.
Only little-endian are supported, so MBE is reset to 0.
mstatus.VS is implemented, regardless of whether Vector is implemented.","Machine status register, which keeps track of and controls the hart's current operating state.",,M Trap Setup,,,,"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0}","{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0}",Yes,SD,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,MBE,SBE,SXL,SXL,UXL,UXL,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,TSR,TW,TVM,MXR,SUM,MPRV,XS,XS,FS,FS,MPP,MPP,VS,VS,SPP,MPIE,UBE,SPIE,wpri,MIE,wpri,SIE,wpri,"{0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0}",SD,wpri,wpri,wpri,wpri,wpri,wpri,wpri,wpri,TSR,TW,TVM,MXR,SUM,MPRV,XS,XS,FS,FS,MPP,MPP,VS,VS,SPP,MPIE,UBE,SPIE,wpri,MIE,wpri,SIE,wpri
